Date,datevalue,t,Close
2005-10-06,38631,2005.764,25.68
2005-10-05,38630,2005.761,25.99
2005-10-04,38629,2005.758,26.99
2005-10-03,38628,2005.756,26.64
2005-09-30,38625,2005.747,25.99
2005-09-29,38624,2005.744,24.4
2005-09-28,38623,2005.742,24.24
2005-09-27,38622,2005.739,24.3
2005-09-26,38621,2005.736,23.97
2005-09-23,38618,2005.728,24.17
2005-09-22,38617,2005.725,23.62
2005-09-21,38616,2005.722,22.67
2005-09-20,38615,2005.719,23.18
2005-09-19,38614,2005.717,23.27
2005-09-16,38611,2005.708,24.2
2005-09-15,38610,2005.706,23.42
2005-09-14,38609,2005.703,23.67
2005-09-13,38608,2005.7,24.37
2005-09-12,38607,2005.697,25.21
2005-09-09,38604,2005.689,24.97
2005-09-08,38603,2005.686,24.09
2005-09-07,38602,2005.683,22.59
2005-09-06,38601,2005.681,22.76
2005-09-02,38597,2005.669,21.54
2005-09-01,38596,2005.667,21.45
2005-08-31,38595,2005.667,21.56
2005-08-30,38594,2005.664,21.4
2005-08-29,38593,2005.661,21.94
2005-08-26,38590,2005.653,21.19
2005-08-25,38589,2005.65,21.06
2005-08-24,38588,2005.647,21.04
2005-08-23,38587,2005.644,21.1
2005-08-22,38586,2005.642,21.45
2005-08-19,38583,2005.633,21.38
2005-08-18,38582,2005.631,21.41
2005-08-17,38581,2005.628,21.89
2005-08-16,38580,2005.625,22.24
2005-08-15,38579,2005.622,21.97
2005-08-12,38576,2005.614,22.1
2005-08-11,38575,2005.611,21
2005-08-10,38574,2005.608,20.87
2005-08-09,38573,2005.606,21.34
2005-08-08,38572,2005.603,21.76
2005-08-05,38569,2005.594,20.97
2005-08-04,38568,2005.592,20.64
2005-08-03,38567,2005.589,20.89
2005-08-02,38566,2005.586,19.57
2005-08-01,38565,2005.583,19.34
2005-07-29,38562,2005.578,18.56
2005-07-28,38561,2005.575,18.91
2005-07-27,38560,2005.572,19.52
2005-07-26,38559,2005.569,19.01
2005-07-25,38558,2005.567,16.96
2005-07-22,38555,2005.558,16.4
2005-07-21,38554,2005.556,16.65
2005-07-20,38553,2005.553,16.89
2005-07-19,38552,2005.55,16.39
2005-07-18,38551,2005.547,16.28
2005-07-15,38548,2005.539,16.4
2005-07-14,38547,2005.536,16.5
2005-07-13,38546,2005.533,16.53
2005-07-12,38545,2005.531,16.85
2005-07-11,38544,2005.528,17.21
2005-07-08,38541,2005.519,16.71
2005-07-07,38540,2005.517,16.93
2005-07-06,38539,2005.514,16.73
2005-07-05,38538,2005.511,16.44
2005-07-01,38534,2005.5,16.55
2005-06-30,38533,2005.497,16.41
2005-06-29,38532,2005.494,16.34
2005-06-28,38531,2005.492,16.08
2005-06-27,38530,2005.489,15.99
2005-06-24,38527,2005.481,15.77
2005-06-23,38526,2005.478,16.05
2005-06-22,38525,2005.475,16.52
2005-06-21,38524,2005.472,16.66
2005-06-20,38523,2005.469,17.19
2005-06-17,38520,2005.461,17.22
2005-06-16,38519,2005.458,17.63
2005-06-15,38518,2005.456,17.15
2005-06-14,38517,2005.453,17
2005-06-13,38516,2005.45,16.66
2005-06-10,38513,2005.442,16.91
2005-06-09,38512,2005.439,15.65
2005-06-08,38511,2005.436,14.86
2005-06-07,38510,2005.433,15
2005-06-06,38509,2005.431,15.22
2005-06-03,38506,2005.422,14.67
2005-06-02,38505,2005.419,14.88
2005-06-01,38504,2005.417,14.5
2005-05-31,38503,2005.417,14.29
2005-05-27,38499,2005.406,14.55
2005-05-26,38498,2005.403,14.64
2005-05-25,38497,2005.4,14.54
2005-05-24,38496,2005.397,14.44
2005-05-23,38495,2005.394,15.55
2005-05-20,38492,2005.386,15.93
2005-05-19,38491,2005.383,16.13
2005-05-18,38490,2005.381,15.5
2005-05-17,38489,2005.378,14.48
2005-05-16,38488,2005.375,14.85
2005-05-13,38485,2005.367,14.28
2005-05-12,38484,2005.364,13.83
2005-05-11,38483,2005.361,12.95
2005-05-10,38482,2005.358,11.58
2005-05-09,38481,2005.356,11.61
2005-05-06,38478,2005.347,11.57
2005-05-05,38477,2005.344,11.44
2005-05-04,38476,2005.342,11.6
2005-05-03,38475,2005.339,11.54
2005-05-02,38474,2005.336,11.57
2005-04-29,38471,2005.328,11.55
2005-04-28,38470,2005.325,11.51
2005-04-27,38469,2005.322,11.5
2005-04-26,38468,2005.319,11.3
2005-04-25,38467,2005.317,11.5
2005-04-22,38464,2005.308,11.2
2005-04-21,38463,2005.306,12.15
2005-04-20,38462,2005.303,11.45
2005-04-19,38461,2005.3,11.62
2005-04-18,38460,2005.297,11.33
2005-04-15,38457,2005.289,11.69
2005-04-14,38456,2005.286,11.98
2005-04-13,38455,2005.283,12.11
2005-04-12,38454,2005.281,11.67
2005-04-11,38453,2005.278,11.89
2005-04-08,38450,2005.269,12.01
2005-04-07,38449,2005.267,11.24
2005-04-06,38448,2005.264,11.1
2005-04-05,38447,2005.261,10.82
2005-04-04,38446,2005.258,10.96
2005-04-01,38443,2005.25,10.83
2005-03-31,38442,2005.25,10.85
2005-03-30,38441,2005.247,10.25
2005-03-29,38440,2005.244,10.1
2005-03-28,38439,2005.242,9.78
2005-03-24,38435,2005.231,9.03
2005-03-23,38434,2005.228,9.19
2005-03-22,38433,2005.225,9.15
2005-03-21,38432,2005.222,9.31
2005-03-18,38429,2005.214,9.2
2005-03-17,38428,2005.211,9.2
2005-03-16,38427,2005.208,9.17
2005-03-15,38426,2005.206,9.2
2005-03-14,38425,2005.203,9.5
2005-03-11,38422,2005.194,9.43
2005-03-10,38421,2005.192,9.89
2005-03-09,38420,2005.189,10.01
2005-03-08,38419,2005.186,10.12
2005-03-07,38418,2005.183,10.59
2005-03-04,38415,2005.175,10.7
2005-03-03,38414,2005.172,10.56
