Datevalue,Date,t,Close
24.01.1929,1929-01-24,1929.064,309.39
25.01.1929,1929-01-25,1929.067,315.13
26.01.1929,1929-01-26,1929.069,314.56
28.01.1929,1929-01-28,1929.075,314.04
29.01.1929,1929-01-29,1929.078,312.6
30.01.1929,1929-01-30,1929.081,312.6
31.01.1929,1929-01-31,1929.083,317.51
01.02.1929,1929-02-01,1929.083,319.68
02.02.1929,1929-02-02,1929.086,319.76
04.02.1929,1929-02-04,1929.092,319.05
05.02.1929,1929-02-05,1929.094,322.06
06.02.1929,1929-02-06,1929.097,317.18
07.02.1929,1929-02-07,1929.1,305.75
08.02.1929,1929-02-08,1929.103,301.53
11.02.1929,1929-02-11,1929.111,310.35
13.02.1929,1929-02-13,1929.117,308.07
14.02.1929,1929-02-14,1929.119,306.49
15.02.1929,1929-02-15,1929.122,300.41
16.02.1929,1929-02-16,1929.125,295.85
18.02.1929,1929-02-18,1929.131,300.74
19.02.1929,1929-02-19,1929.133,301.1
20.02.1929,1929-02-20,1929.136,305.99
21.02.1929,1929-02-21,1929.139,310.06
25.02.1929,1929-02-25,1929.15,311.24
26.02.1929,1929-02-26,1929.153,311.25
27.02.1929,1929-02-27,1929.156,314.53
28.02.1929,1929-02-28,1929.158,317.41
01.03.1929,1929-03-01,1929.167,321.18
02.03.1929,1929-03-02,1929.169,319.12
04.03.1929,1929-03-04,1929.175,313.86
05.03.1929,1929-03-05,1929.178,310.2
06.03.1929,1929-03-06,1929.181,305.2
07.03.1929,1929-03-07,1929.183,308.99
08.03.1929,1929-03-08,1929.186,311.59
09.03.1929,1929-03-09,1929.189,311.61
11.03.1929,1929-03-11,1929.194,305.75
12.03.1929,1929-03-12,1929.197,306.14
13.03.1929,1929-03-13,1929.2,310.29
14.03.1929,1929-03-14,1929.203,316.26
15.03.1929,1929-03-15,1929.206,319.7
16.03.1929,1929-03-16,1929.208,320
18.03.1929,1929-03-18,1929.214,317.59
19.03.1929,1929-03-19,1929.217,317.53
20.03.1929,1929-03-20,1929.219,316.44
21.03.1929,1929-03-21,1929.222,314.63
22.03.1929,1929-03-22,1929.225,310.26
23.03.1929,1929-03-23,1929.228,306.21
25.03.1929,1929-03-25,1929.233,297.5
26.03.1929,1929-03-26,1929.236,296.51
27.03.1929,1929-03-27,1929.239,303.22
28.03.1929,1929-03-28,1929.242,308.85
01.04.1929,1929-04-01,1929.25,300.4
02.04.1929,1929-04-02,1929.253,303.49
03.04.1929,1929-04-03,1929.256,300.35
04.04.1929,1929-04-04,1929.258,305.37
05.04.1929,1929-04-05,1929.261,303.04
06.04.1929,1929-04-06,1929.264,302.81
08.04.1929,1929-04-08,1929.269,301.49
09.04.1929,1929-04-09,1929.272,299.13
10.04.1929,1929-04-10,1929.275,300.67
11.04.1929,1929-04-11,1929.278,304.09
12.04.1929,1929-04-12,1929.281,305.43
13.04.1929,1929-04-13,1929.283,304.41
15.04.1929,1929-04-15,1929.289,302.43
16.04.1929,1929-04-16,1929.292,304.19
17.04.1929,1929-04-17,1929.294,309.91
18.04.1929,1929-04-18,1929.297,311.87
19.04.1929,1929-04-19,1929.3,310.58
20.04.1929,1929-04-20,1929.303,311.07
22.04.1929,1929-04-22,1929.308,315.33
23.04.1929,1929-04-23,1929.311,316.62
24.04.1929,1929-04-24,1929.314,315.66
25.04.1929,1929-04-25,1929.317,314.28
26.04.1929,1929-04-26,1929.319,314.15
27.04.1929,1929-04-27,1929.322,315.68
29.04.1929,1929-04-29,1929.328,313.84
30.04.1929,1929-04-30,1929.331,319.29
01.05.1929,1929-05-01,1929.333,320.13
02.05.1929,1929-05-02,1929.336,321.52
03.05.1929,1929-05-03,1929.339,325.56
04.05.1929,1929-05-04,1929.342,327.08
06.05.1929,1929-05-06,1929.347,326.16
07.05.1929,1929-05-07,1929.35,321.91
08.05.1929,1929-05-08,1929.353,323.51
09.05.1929,1929-05-09,1929.356,321.17
10.05.1929,1929-05-10,1929.358,325.7
11.05.1929,1929-05-11,1929.361,324.59
13.05.1929,1929-05-13,1929.367,316.49
14.05.1929,1929-05-14,1929.369,320.79
15.05.1929,1929-05-15,1929.372,319.35
16.05.1929,1929-05-16,1929.375,320.09
17.05.1929,1929-05-17,1929.378,321.38
18.05.1929,1929-05-18,1929.381,321.48
20.05.1929,1929-05-20,1929.386,312.7
21.05.1929,1929-05-21,1929.389,314.09
22.05.1929,1929-05-22,1929.392,300.83
23.05.1929,1929-05-23,1929.394,308.09
24.05.1929,1929-05-24,1929.397,305.64
25.05.1929,1929-05-25,1929.4,304.33
27.05.1929,1929-05-27,1929.406,293.42
28.05.1929,1929-05-28,1929.408,298.87
29.05.1929,1929-05-29,1929.411,296.76
31.05.1929,1929-05-31,1929.417,297.41
01.06.1929,1929-06-01,1929.417,299.12
03.06.1929,1929-06-03,1929.422,304.2
04.06.1929,1929-06-04,1929.425,310.57
05.06.1929,1929-06-05,1929.428,307.68
06.06.1929,1929-06-06,1929.431,307.72
07.06.1929,1929-06-07,1929.433,307.46
08.06.1929,1929-06-08,1929.436,305.12
10.06.1929,1929-06-10,1929.442,303.27
11.06.1929,1929-06-11,1929.444,306.64
12.06.1929,1929-06-12,1929.447,306.68
13.06.1929,1929-06-13,1929.45,313.05
14.06.1929,1929-06-14,1929.453,313.68
15.06.1929,1929-06-15,1929.456,314.26
17.06.1929,1929-06-17,1929.461,319.33
18.06.1929,1929-06-18,1929.464,319.67
19.06.1929,1929-06-19,1929.467,316.41
20.06.1929,1929-06-20,1929.469,317.73
21.06.1929,1929-06-21,1929.472,320.68
22.06.1929,1929-06-22,1929.475,322.23
24.06.1929,1929-06-24,1929.481,321.15
25.06.1929,1929-06-25,1929.483,326.16
26.06.1929,1929-06-26,1929.486,328.6
27.06.1929,1929-06-27,1929.489,328.91
28.06.1929,1929-06-28,1929.492,331.65
29.06.1929,1929-06-29,1929.494,333.79
01.07.1929,1929-07-01,1929.5,335.22
02.07.1929,1929-07-02,1929.503,340.28
03.07.1929,1929-07-03,1929.506,341.99
05.07.1929,1929-07-05,1929.511,344.27
06.07.1929,1929-07-06,1929.514,344.66
